youtubeId,movieId,title,Unnamed: 3,d1,status
K26_sDKnvMU,1,Toy Story (1995),,9939.0,"Fetched, Comment Disabled"
3LPANjHlPxo,2,Jumanji (1995),,,"Fetched, Comment Disabled"
rEnOoWs3FuA,3,Grumpier Old Men (1995),,,Fetched
j9xml1CxgXI,4,Waiting to Exhale (1995),,,"Fetched, Comment Disabled"
ltwvKLnj1B4,5,Father of the Bride Part II (1995),,,Video Not Found
2GfZl4kuVNI,6,Heat (1995),,,Fetched
twTksx_lWB4,7,Sabrina (1995),,,"Fetched, Comment Disabled"
-C-xXZyX2zU,8,Tom and Huck (1995),,,"Fetched, Comment Disabled"
SCOxEKkuWG4,9,Sudden Death (1995),,,Video Not Found
lcOqUE0u1LM,10,GoldenEye (1995),,,Fetched
UrC75wUKoFM,11,"American President, The (1995)",,,Fetched
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),,,Fetched
a6lGULmQdb0,13,Balto (1995),,,Video Not Found
dO2LWKpeyI8,14,Nixon (1995),,,Fetched
JXxFESHwnX0,15,Cutthroat Island (1995),,,Video Not Found
EJXDMwGWhoA,16,Casino (1995),,,Fetched
Ns17RQr1yK8,17,Sense and Sensibility (1995),,,Video Not Found
Rieq_TR7cV0,18,Four Rooms (1995),,,Video Not Found
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995),,,Fetched
qPPUmzK5pPc,20,Money Train (1995),,,Video Not Found
yNLaTtpovys,21,Get Shorty (1995),,,Fetched
lsmXhM4yfU0,22,Copycat (1995),,,Fetched
OOTTvrb4JZI,23,Assassins (1995),,,Fetched
gHl-UHu2-lM,24,Powder (1995),,,Fetched
UMlYWZgCIgo,25,Leaving Las Vegas (1995),,,Fetched
RAYuASqrs94,26,Othello (1995),,,Video Not Found
RQLVzTtt2Ws,27,Now and Then (1995),,,Fetched
lYSHAyODiGs,28,Persuasion (1995),,,Fetched
toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",,,Fetched
mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),,,Fetched
gA-5nLQCmW8,31,Dangerous Minds (1995),,,Fetched
15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,,Fetched
3_wez2B83ic,33,Wings of Courage (1995),,,Fetched
tVxeoUtVF0o,34,Babe (1995),,,Fetched
ccq3f9-lQyM,35,Carrington (1995),,,Fetched
pg-GMqPHIPQ,36,Dead Man Walking (1995),,,Video Not Found
qpQ-CnutDy0,37,Across the Sea of Time (1995),,,Fetched
6PKq7YSpO6c,38,It Takes Two (1995),,,"Fetched, Comment Disabled"
XuHEa7pWAQY,39,Clueless (1995),,,Fetched
zEY1dPRUrVU,40,"Cry, the Beloved Country (1995)",,,Video Not Found
OXc0-EME0C8,41,Richard III (1995),,,Fetched
eETnzbLwTs8,42,Dead Presidents (1995),,,Video Not Found
CvsAuHYBgEQ,43,Restoration (1995),,,Fetched
JHIfHL5UgFs,44,Mortal Kombat (1995),,,Fetched
Y1uPXA1ceNo,45,To Die For (1995),,,Fetched
K5_2VgJUSBA,46,How to Make an American Quilt (1995),,,Fetched
SpKbZ_3zlb0,47,Seven (a.k.a. Se7en) (1995),,,Video Not Found
DSf_pVG8QZM,48,Pocahontas (1995),,,"Fetched, Comment Disabled"
